up,share_data
原神,5634260
崩坏星穹铁道,3621341
衣戈猜想,3026119
哦呼w,1786134
一只风风o,1441335
崩坏3第一偶像爱酱,1440172
杰威尔音乐,1362667
小潮院长,1341466
明日方舟,1243427
老番茄,1079766
