classifier,Acc,Auc
LogisticRegression,0.7842105263157895,0.874347874347874
DecisionTree,0.8065789473684211,0.8315608003108003
Random Forest,0.8013157894736842,0.879044566544566
GBT,0.7960526315789473,0.8688603063603081
