up,coin_data
小潮院长,20645856
老番茄,12451730
原神,10341159
盗月社食遇记,9392476
老师好我叫何同学,8611875
衣戈猜想,8458657
影视飓风,8198007
小约翰可汗,7732143
崩坏星穹铁道,7358884
木鱼水心,6831895
